ID,コード,銘柄名,変動理由,株価変動記事,latest_article_url,終値2日前,終値1日前,終値0日前,生成記事,日付,"ROUGE-1, Pre","ROUGE-1, Recall","ROUGE-1, F","ROUGE-L, Pre","ROUGE-L, Recall","ROUGE-L, F"
240902_r31,8119,三栄コ, ９月３０日を基準日として１株を４株に株式分割へ,　三栄コーポレーション<8119>が大幅反発している。８月３０日の取引終了後、９月３０日を基準日として１株を４株に株式分割すると発表したことが好感されている。なお、効力発生日は１０月１日。,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=evvqqy&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240822575562/,845,844,914,三栄コ<8119>の株価は、ここ数日間で大きな変動を見せた。最初の二日間、845円から844円とわずかな下落を記録したものの、三日目には914円に大幅上昇した。この動きの背景には、三栄コが発表した株主優待制度の変更・拡充がある。具体的には、株式分割に伴い、優待ポイントの算出方法が変更され、株主へのインセンティブが強化されたことが要因だ。株主優待の強化は、株主への感謝と長期保有の促進を図るものであり、これにより株価の魅力度が高まったと考えられる。これらの施策が市場に好意的に受け止められ、株価の上昇につながったと見られる。,2025/9/2,,,,,,
240902_r32,6563,みらいWKS, プロフェッショナル人材の登録者数が８万人突破,"みらいワークス<6563>が後場一段高となっている。同社はきょう午前１１時ごろ、７月末時点でプロフェッショナル人材の登録者数が８万人を突破したと発表しており、これが株価を刺激しているようだ。

　同社はフリーランスのマッチングサービス「フリーコンサルタント．ｊｐ」、副業マッチングサービス「Ｓｋｉｌｌ　Ｓｈｉｆｔ」、地方転職支援サービス「Ｇｌｏｃａｌ　Ｍｉｓｓｉｏｎ　Ｊｏｂｓ（ＧＭＪ）」、デジタル・クリエイターのためのマッチングサービス「ＭＯＲＥＷＯＲＫＳ」を展開。今後もプロフェッショナル人材の活躍の場を増やすため、既存サービスの更なる拡大に加え、さまざまなサービスを立ち上げるとしている。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewass4&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240829578036/,906,945,1020,みらいWKS<6563>の株価が最近3日間で大きく動き、906円から1020円に上昇した。これは、同社がプロフェッショナル人材に特化したサービスを展開し、登録者数が8万人を突破したことが背景にある。さらに、デジタル・クリエイター向けのマッチングサービスを買収したことで、事業の拡大が期待された。経営方針として「多様な働き方の支援」を掲げる同社だが、こうした戦略が市場で高く評価された結果、株価が急上昇したと見られる。,2025/9/2,,,,,,
240902_r38,192A,インテG, グロース市場の出遅れ物色の波に乗り５０００円台復帰にらむ,インテグループ<192A>の上値追い鮮烈、４７５円高の４９５５円と７月２４日ザラ場以来となる５０００円大台乗せを視野に入れている。中堅・中小企業を主要顧客とする小規模案件を軸にＭ＆Ａ仲介事業を展開する。Ｍ＆Ａ分野でも競合の少ないニッチ領域に照準を合わせ、完全成功報酬型を特長としており、価格を抑えることで急速に需要開拓を進めている。営業利益は２４年５月期に前の期比で４倍以上に急拡大、２５年５月期は前期比２０％増の１１億８３００万円予想と成長トレンドが続く見通し。成長性を考慮した場合にＰＥＲの割安感が意識され、グロース市場人気化の流れに乗って水準訂正を狙った買いを誘導している。,https://www.nikkei.com/nkd/disclosure/ednr/20240829S100UAWB/,4475,4480,4820,インテG<192A>の株価はここ3日間で大きく変動した。4500円台の水準を抜け出し、4820円まで上昇する結果となった。この上昇の背景には、8月28日に開催された株主総会での新たな取締役の選任が影響している可能性が高い。新体制への期待感が投資家心理にプラスに働き、企業のガバナンスや経営方針の改革が示唆されたことで、市場に好感された。また、株主総会での重要決議が投資家の信頼を強化し、株価の押し上げに寄与したと見られる。,2025/9/2,,,,,,
240902_r46,4811,ドリムアーツ, SmartDB(R)を導入しDX人材を育成,"ドリーム・アーツ<4811>は22日、大阪市高速電気軌道（Osaka Metro）が、SmartDB(R)（スマートデービー）」を導入し、DX人材の育成に取り組んでいることを発表。

Osaka Metroは、大阪市内とその周辺地域における鉄道を主とする交通事業をはじめ、マーケティング事業や都市開発事業を展開している。デジタル推進部が中心となって、全社の戦略的なDXを推進している。1年間で40名のアプリ開発者を育成することを目標に掲げ、DX人材育成プログラムを開始、最大5,700IDが利用する市民開発の基盤として採用した。同社は、定期的な勉強会や開発支援などを行い、デジタル推進部に頼らない業務部門主導でのデジタル化を進めている。

SmartDB(R)は、大企業向け業務デジタル化クラウドのノーコード開発プラットフォームである。今回、「標準機能で実現できる範囲が広くさまざまな紙・Excel業務のデジタル化を実現できる」「ITの専門的な知識がなくても簡単に業務アプリを開発できる」「APIが豊富で他システムとの連携が可能、将来的なデータ活用につながる」点が評価され、導入に至った。Osaka Metroは、SmartDB(R)を活用し、従業員がどのシステムを利用すべきか一目でわかる状態に整備した。今後は、エンタープライズ・ポータル「InsuiteX(R)」やBIツールとの連携も強化し、オープンかつ循環的なデータ活用による経営や事業運営の進化を目指している。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=eveipe&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240814571986/,2470,2487,2658,ドリムアーツ<4811>の株価は、3日間で2470円から2487円、そして2658円へと上昇した。この変動の背景には数々の要因が挙げられる。業績予想の修正では、売上高が前年より9.7%増加する一方で、営業利益と経常利益は減少している。特にクラウド事業が成長の牽引役となっているが、プロフェッショナルサービス事業やオンプレミス事業の減少が利益減少の原因だ。また、ウクライナや中東の情勢、中国の経済不振などの国際情勢も企業評価に影響を及ぼしている。技術面では「SmartDB®」の機能拡張が進み、成長の推進力となっており、これが投資家の注目を集めている。これらの要因が複合的に作用し、株価の上昇を牽引していると言える。,2025/9/2,,,,,,
240902_d01,4881,ファンペップ, 抗ＩｇＥ抗体誘導ペプチドに関する米国特許成立を発表も反応限定的,"ファンペップ<4881>が大幅反落している。８月３０日の取引終了後、抗ＩｇＥ抗体誘導ペプチドに関する特許が米国において成立したと発表したが、これを好材料視する動きは限定的で、直近の急上昇に対する利益確定の動きが優勢となっている。

　同特許は、同社独自の機能性ペプチド「ＡＪＰ００１」と標的タンパク質ＩｇＥのエピトープ（抗体等が認識する短いペプチド）により構成されるペプチドワクチン（抗ＩｇＥ抗体誘導ペプチド）を広く保護する特許。同社では、同件による業績への影響はないものの、同社の抗ＩｇＥ抗体誘導ペプチド「ＦＰＰ００４Ｘ」の開発プロジェクトをサポートするとしている。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewjewt&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240902579965/,221,236,203,"ファンペップ<4881>の株価は、最近の三日間で興味深い動きを見せた。初日の株価は221円から始まり、翌日には236円まで上昇したが、その次の日には203円まで下落した。この変動の背景には、新株予約権の行使があると考えられる。8月に発行された第11回新株予約権の行使により、26,000個が行使され、合計で2,600,000株が交付された。この結果、株式の希薄化が進み、短期的な株価の下落を招いたと推測される。資金調達の側面を持った新株予約権の行使が、投資家の心理や市場の動向に影響を与えたと言える。",2025/9/2,,,,,,
240902_d02,3350,メタプラ, ＳＢＩ　ＶＣ　トレードと連携　,"メタプラネット<3350>が後場下げ幅をやや縮小させている。正午ごろ、ＳＢＩホールディングス<8473>傘下の暗号資産交換業者であるＳＢＩ　ＶＣ　トレードとビットコインの取引・保管・運用で提携すると発表しており、好材料視されている。

　メタプラでは、今回の提携を通じて日本の税制とコンプライアンスに準拠した法人向けカストディサービスへのアクセスが可能となり、またビットコインを担保とした信用取引などの新たな資金調達手段が選択肢として追加できるようになるとしており、業績への貢献が期待されている。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ew8nj3&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240828577919/,137,139,122,メタプラ<3350>の最近の株価は、9月2日の発表を受けて大きく変動した。まず、初日は137円だったが、提携発表の期待感から翌日には139円に上昇した。しかし、その後は失望売りが優勢となり122円へと下落した。この動きの背景には、SBI VCトレードとの提携による新たな資金調達手段の可能性が影響している。この提携によって、企業戦略の柔軟性が高まる期待がある一方で、具体的な成果がまだ見えないことが不安材料となった模様だ。,2025/9/2,,,,,,
240902_d12,6745,ホーチキ, エアウォータなどによる売り出し決議で需給悪化を警戒,ホーチキ<6745>は３日ぶりに大幅反落した。同社は前週末８月３０日の取引終了後、エア・ウォーター<4088>などがホーチキの株式を売り出すと発表。短期的な株式需給の悪化を警戒した売りが出たようだ。エアウォータのほか、ＭＳ＆ＡＤインシュアランスグループホールディングス<8725>傘下の三井住友海上火災保険、アイホン<6718>などが売り出す。売出株数は合計１７０万７４００株。需要状況に応じ上限２５万６１００株のオーバーアロットメントによる売り出しも行う予定。売出価格は９日から１１日までのいずれかの日に決める。,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ew6hsg&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240827577168/,2305,2309,2104,ホーチキ<6745>の株価は、ここ数日で下落する動きが見られた。株価は、最初の2日間は2305円から2309円へと微増したが、その後大幅に2104円まで下落した。こうした動きの背景には、業績の大幅改善がある。2025年3月期第1四半期には前年同期比で売上高が14.7%増加し、営業利益も黒字転換を果たしている。一方で、地政学的リスクや原材料コストの高騰といった外部要因が、投資家心理に影響を与えたものと考えられる。業績予想は維持されているが、不透明な経済環境が引き続き株価に影響を及ぼしていると言える。,2025/9/2,,,,,,
240902_d19,4707,キタック, ２４年１０月期業績予想を上方修正も材料出尽くし感,"キタック<4707>は大幅続落している。８月３０日の取引終了後、２４年１０月期の連結業績予想について、売上高を３０億５１００万円から３２億５０００万円（前期比１２．８％増）へ、営業利益を２億１２００万円から３億１０００万円（同８６．１％増）へ、純利益を１億４７００万円から２億３０００万円（同３２．７％増）へ上方修正したが、好決算期待で直近上昇基調にあっただけに目先の材料出尽くし感から売られているようだ。

　１月１日に発生した能登半島地震関連の受注も含めて上期の受注高が前年同期に比べて４２．７％増加したことに加えて、第３四半期累計期間の受注高も前年同期比３２．２％の増加と堅調に推移したこと、更に第４四半期も第３四半期までの状況が継続する見込であることなどが要因としている。

　同時に発表した第３四半期累計（２３年１０月２１日～２４年７月２０日）決算は、売上高２３億２７００万円（前年同期比１３．９％増）、営業利益２億４８００万円（同３．３倍）、純利益１億９２００万円（同３．４倍）だった。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=evvqky&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240822575346/,475,473,443,キタック<4707>の最近の株価は475円から443円へと下落した。この3日間の株価変動の背景には、業績予想の上方修正が含まれている。キタックは令和6年10月期の通期連結業績予想を大幅に引き上げ、特に営業利益が46.2％、経常利益が54.7％の増加を見込んでいる。この業績改善の要因として、能登半島地震関連の受注増加があり、上期および下期の受注高が前年に比べて大幅に増加していることが挙げられる。しかしながら、株価が下落した背景には、これらの情報が投資家に既に織り込まれた可能性が考えられる。どれだけ好材料が出ても、期待を上回る新たな材料がなければ、株価は下落に転じることもある。,2025/9/2,,,,,,
240902_d43,6965,ホトニクス, 株式の売り出し決議で需給面でのネガティブな影響を警戒,浜松ホトニクス<6965>が軟調推移。前週末８月３０日の取引終了後、株式の売り出しを決議したと発表した。同時に自社株の取得枠の拡大についても公表したが、取得総数の上限を売出株数の規模が上回っており、需給悪化を懸念した売りが膨らんだようだ。トヨタ自動車<7203>から売却の意向を確認したことに伴い、政策保有株式に関する取り組みの一環として売り出しを実施する。売出株数は７３０万４４００株で、売出価格は９月９日から１１日までのいずれかの日に決める。需要状況に応じて上限１０９万５６００株のオーバーアロットメントによる売り出しも行う予定。半面、ホトニクスは６月の取締役会で決議した自社株買いに関し、取得総数の上限を２８０万株から６５０万株（自己株式を除く発行済み株式総数の４．１９％）に、取得総額の上限を１００億円から２００億円に引き上げると開示した。取得期間の期限は１２月３０日から２５年３月３１日に変更する。,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewjeqz&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240902579755/,1907,1942,1845,ホトニクス<6965>の株価は、1907円から1942円に上昇した後、1845円へと下落した。この変動の背景にはいくつかの要因が関与している。まず、同社が発表した自己株式取得の数字がゼロ株であったことが、市場の期待を下回り、一部の投資家に落胆をもたらした可能性がある。一方で、収益の大幅増加とシステム販売の好調が短期的な株価上昇を支えていた。しかし、ウクライナや中東における地政学的リスク、原材料価格上昇による先行き不透明感が市場心理を圧迫し、これが株価の下落に寄与したと考えられる。また、為替の変動が業績に影響を与える中、投資家の警戒感も株価の変動に影響した模様だ。,2025/9/2,,,,,,
240902_d44,3224,Gオイスター, 株主優待の廃止を嫌気,"ゼネラル・オイスター<3224>はウリ気配。２８日取引終了後、２０２４年９月末をもって株主優待制度を廃止すると発表。これを嫌気した売りが膨らんでいる。

　株主への公平な利益還元のあり方について検討を重ねた結果、収益改善を早期に実現するためには事業拡大を行いつつ、財務体質の強化を進め、企業価値向上を図っていくことが株主の利益に資すると判断した。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ew8n8o&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240828577544/,1297,1105,1050,Gオイスター<3224>の株価はここ3日間で大きな変動を見せた。8月28日の株主優待制度の廃止発表がきっかけで、初日は1297円から1105円に下落し、続いて1050円まで下がった。この優待制度の廃止は、収益改善と財務体質強化を目的としたものだ。同社は事業拡大も視野に入れており、企業価値の向上を目指している。しかし、この決定は投資家の心情に短期的な不安をもたらしたようだ。長期的には企業価値向上を狙っているものの、投資家の評価は分かれる模様だ。,2025/9/2,,,,,,
