ID,コード,銘柄名,変動理由,株価変動記事,latest_article_url,終値2日前,終値1日前,終値0日前,生成記事,日付,"ROUGE-1, Pre","ROUGE-1, Recall","ROUGE-1, F","ROUGE-L, Pre","ROUGE-L, Recall","ROUGE-L, F"
240902_r31,8119,三栄コ, ９月３０日を基準日として１株を４株に株式分割へ,　三栄コーポレーション<8119>が大幅反発している。８月３０日の取引終了後、９月３０日を基準日として１株を４株に株式分割すると発表したことが好感されている。なお、効力発生日は１０月１日。,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=evvqqy&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240822575562/,845,844,914,三栄コ<8119>の株価はこの3日間で大きく動きました。初日と2日目はそれぞれ845円から844円とわずかな下落を見せましたが、最終日には914円へと急上昇しました。この急上昇の背景には、株主優待制度の拡充が発表されたことが影響しています。具体的には、株式分割を経て優待のポイントシステムが導入され、100株以上の保有者には新たな優待ポイントが付与されるようになったことで、株主からの評価が高まり、株式の需要が増したようです。,2024/9/2,,,,,,
240902_r32,6563,みらいWKS, プロフェッショナル人材の登録者数が８万人突破,"みらいワークス<6563>が後場一段高となっている。同社はきょう午前１１時ごろ、７月末時点でプロフェッショナル人材の登録者数が８万人を突破したと発表しており、これが株価を刺激しているようだ。

　同社はフリーランスのマッチングサービス「フリーコンサルタント．ｊｐ」、副業マッチングサービス「Ｓｋｉｌｌ　Ｓｈｉｆｔ」、地方転職支援サービス「Ｇｌｏｃａｌ　Ｍｉｓｓｉｏｎ　Ｊｏｂｓ（ＧＭＪ）」、デジタル・クリエイターのためのマッチングサービス「ＭＯＲＥＷＯＲＫＳ」を展開。今後もプロフェッショナル人材の活躍の場を増やすため、既存サービスの更なる拡大に加え、さまざまなサービスを立ち上げるとしている。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewass4&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240829578036/,906,945,1020,みらいWKS<6563>の株価は3日間で急上昇しました。初日は906円から始まり、2日目には945円に上昇、最終日には1020円に達しました。この動きの背景には、プロフェッショナル人材の登録者が8万人を突破したことが大きく影響しています。プロフェッショナルに特化した人材サービスを展開する同社の取り組みが評価され、将来的な成長期待が高まった結果と言えるでしょう。,2024/9/2,,,,,,
240902_r38,192A,インテG, グロース市場の出遅れ物色の波に乗り５０００円台復帰にらむ,インテグループ<192A>の上値追い鮮烈、４７５円高の４９５５円と７月２４日ザラ場以来となる５０００円大台乗せを視野に入れている。中堅・中小企業を主要顧客とする小規模案件を軸にＭ＆Ａ仲介事業を展開する。Ｍ＆Ａ分野でも競合の少ないニッチ領域に照準を合わせ、完全成功報酬型を特長としており、価格を抑えることで急速に需要開拓を進めている。営業利益は２４年５月期に前の期比で４倍以上に急拡大、２５年５月期は前期比２０％増の１１億８３００万円予想と成長トレンドが続く見通し。成長性を考慮した場合にＰＥＲの割安感が意識され、グロース市場人気化の流れに乗って水準訂正を狙った買いを誘導している。,https://www.nikkei.com/nkd/disclosure/ednr/20240829S100UAWB/,4475,4480,4820,インテG<192A>の株価は、4475円から4480円と横ばいの後、4820円へと大幅に上昇した。この上昇は、8月28日に開催された株主総会で、新たな取締役の選任が全会一致で可決されたことが影響している。この決議が投資家に好意的に受け取られ、経営の安定への期待感から株価が上がったと見られている。,2024/9/2,,,,,,
240902_r46,4811,ドリムアーツ, SmartDB(R)を導入しDX人材を育成,"ドリーム・アーツ<4811>は22日、大阪市高速電気軌道（Osaka Metro）が、SmartDB(R)（スマートデービー）」を導入し、DX人材の育成に取り組んでいることを発表。

Osaka Metroは、大阪市内とその周辺地域における鉄道を主とする交通事業をはじめ、マーケティング事業や都市開発事業を展開している。デジタル推進部が中心となって、全社の戦略的なDXを推進している。1年間で40名のアプリ開発者を育成することを目標に掲げ、DX人材育成プログラムを開始、最大5,700IDが利用する市民開発の基盤として採用した。同社は、定期的な勉強会や開発支援などを行い、デジタル推進部に頼らない業務部門主導でのデジタル化を進めている。

SmartDB(R)は、大企業向け業務デジタル化クラウドのノーコード開発プラットフォームである。今回、「標準機能で実現できる範囲が広くさまざまな紙・Excel業務のデジタル化を実現できる」「ITの専門的な知識がなくても簡単に業務アプリを開発できる」「APIが豊富で他システムとの連携が可能、将来的なデータ活用につながる」点が評価され、導入に至った。Osaka Metroは、SmartDB(R)を活用し、従業員がどのシステムを利用すべきか一目でわかる状態に整備した。今後は、エンタープライズ・ポータル「InsuiteX(R)」やBIツールとの連携も強化し、オープンかつ循環的なデータ活用による経営や事業運営の進化を目指している。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=eveipe&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240814571986/,2470,2487,2658,ドリムアーツ<4811>の株価は、3日間で2470円から2658円に上昇しました。この急騰には数々の要因があります。特に注目すべきは、「SmartDB®」の機能拡張やセキュリティ強化の進行、およびクラウドサービスへの需要拡大です。これにより、企業のデジタル化シフトを支援する活動が市場から評価されました。,2024/9/2,,,,,,
240902_d01,4881,ファンペップ, 抗ＩｇＥ抗体誘導ペプチドに関する米国特許成立を発表も反応限定的,"ファンペップ<4881>が大幅反落している。８月３０日の取引終了後、抗ＩｇＥ抗体誘導ペプチドに関する特許が米国において成立したと発表したが、これを好材料視する動きは限定的で、直近の急上昇に対する利益確定の動きが優勢となっている。

　同特許は、同社独自の機能性ペプチド「ＡＪＰ００１」と標的タンパク質ＩｇＥのエピトープ（抗体等が認識する短いペプチド）により構成されるペプチドワクチン（抗ＩｇＥ抗体誘導ペプチド）を広く保護する特許。同社では、同件による業績への影響はないものの、同社の抗ＩｇＥ抗体誘導ペプチド「ＦＰＰ００４Ｘ」の開発プロジェクトをサポートするとしている。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewjewt&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240902579965/,221,236,203,ファンペップ<4881>の株価は、三日間で上昇後に大幅な下落を見せた。この動きの背景には、2024年7月に発行された新株予約権の行使状況が影響している。初日の株価は221円で始まり、その後236円に上昇した。しかし、新株予約権の大量行使が進むにつれ、最終日には203円にまで急落した。この新株予約権の行使は、市場への新株供給を増やし、株式価値を希薄化させたことが考えられる。,2024/9/2,,,,,,
240902_d02,3350,メタプラ, ＳＢＩ　ＶＣ　トレードと連携　,"メタプラネット<3350>が後場下げ幅をやや縮小させている。正午ごろ、ＳＢＩホールディングス<8473>傘下の暗号資産交換業者であるＳＢＩ　ＶＣ　トレードとビットコインの取引・保管・運用で提携すると発表しており、好材料視されている。

　メタプラでは、今回の提携を通じて日本の税制とコンプライアンスに準拠した法人向けカストディサービスへのアクセスが可能となり、またビットコインを担保とした信用取引などの新たな資金調達手段が選択肢として追加できるようになるとしており、業績への貢献が期待されている。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ew8nj3&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240828577919/,137,139,122,メタプラ<3350>の株価は、ここ数日で上昇と下落を繰り返し、137円から139円に上がった後、122円まで下落した。この株価変動の理由として、SBI VCトレードとの提携発表が挙げられる。この提携により、法人向けビットコインカストディサービスの強化や新たな信用取引手段の追加が図られ、投資家から期待が寄せられた。しかし、提携発表後の市場の反応は一時的であり、その期待に見合った具体的な進展が見られないことや、市場全体の不安定さが影響して株価は下落に転じた。,2024/9/2,,,,,,
240902_d12,6745,ホーチキ, エアウォータなどによる売り出し決議で需給悪化を警戒,ホーチキ<6745>は３日ぶりに大幅反落した。同社は前週末８月３０日の取引終了後、エア・ウォーター<4088>などがホーチキの株式を売り出すと発表。短期的な株式需給の悪化を警戒した売りが出たようだ。エアウォータのほか、ＭＳ＆ＡＤインシュアランスグループホールディングス<8725>傘下の三井住友海上火災保険、アイホン<6718>などが売り出す。売出株数は合計１７０万７４００株。需要状況に応じ上限２５万６１００株のオーバーアロットメントによる売り出しも行う予定。売出価格は９日から１１日までのいずれかの日に決める。,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ew6hsg&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240827577168/,2305,2309,2104,ホーチキ<6745>の株価は、ここ数日で大幅に変動しました。初めの2日間は小幅な上昇を見せたものの、2305円から2309円と堅調な動きを示しました。しかし、3日目には急落し2104円となりました。この変動の背景には、防災・防犯業界の収益に影響を与える諸要因が関係しています。特に、原材料価格や物流費の上昇が収益を圧迫している中で、労務費の増加も追い打ちをかけています。,2024/9/2,,,,,,
240902_d19,4707,キタック, ２４年１０月期業績予想を上方修正も材料出尽くし感,"キタック<4707>は大幅続落している。８月３０日の取引終了後、２４年１０月期の連結業績予想について、売上高を３０億５１００万円から３２億５０００万円（前期比１２．８％増）へ、営業利益を２億１２００万円から３億１０００万円（同８６．１％増）へ、純利益を１億４７００万円から２億３０００万円（同３２．７％増）へ上方修正したが、好決算期待で直近上昇基調にあっただけに目先の材料出尽くし感から売られているようだ。

　１月１日に発生した能登半島地震関連の受注も含めて上期の受注高が前年同期に比べて４２．７％増加したことに加えて、第３四半期累計期間の受注高も前年同期比３２．２％の増加と堅調に推移したこと、更に第４四半期も第３四半期までの状況が継続する見込であることなどが要因としている。

　同時に発表した第３四半期累計（２３年１０月２１日～２４年７月２０日）決算は、売上高２３億２７００万円（前年同期比１３．９％増）、営業利益２億４８００万円（同３．３倍）、純利益１億９２００万円（同３．４倍）だった。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=evvqky&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240822575346/,475,473,443,株式会社キタック<4707>の株価は、ここ数日で大きな値下がりを見せた。三日間の動向として、初日は475円、次の日に473円と微減し、続く三日目には443円まで大幅な値下がりを記録した。この急激な下落の背景には、能登半島地震に伴う受注が増えたにも関わらず、市場予想により業績の上方修正が発表されていたことが考えられる。業績が好調な一方で、投資家の期待値が高まりすぎ、結果として利益確定の売り注文が増加したことが株価下落の要因として挙げられる。,2024/9/2,,,,,,
240902_d43,6965,ホトニクス, 株式の売り出し決議で需給面でのネガティブな影響を警戒,浜松ホトニクス<6965>が軟調推移。前週末８月３０日の取引終了後、株式の売り出しを決議したと発表した。同時に自社株の取得枠の拡大についても公表したが、取得総数の上限を売出株数の規模が上回っており、需給悪化を懸念した売りが膨らんだようだ。トヨタ自動車<7203>から売却の意向を確認したことに伴い、政策保有株式に関する取り組みの一環として売り出しを実施する。売出株数は７３０万４４００株で、売出価格は９月９日から１１日までのいずれかの日に決める。需要状況に応じて上限１０９万５６００株のオーバーアロットメントによる売り出しも行う予定。半面、ホトニクスは６月の取締役会で決議した自社株買いに関し、取得総数の上限を２８０万株から６５０万株（自己株式を除く発行済み株式総数の４．１９％）に、取得総額の上限を１００億円から２００億円に引き上げると開示した。取得期間の期限は１２月３０日から２５年３月３１日に変更する。,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewjeqz&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240902579755/,1907,1942,1845,ホトニクス<6965>の株価は3日間で1907円から1942円、最終的に1845円へと変動した。この株価変動の背景には、特定の要因があった可能性がある。最近の株主総会では、会社が自己株式の取得計画を進めていることが明らかになり、これが投資家心理に影響を与えたようだ。具体的には、定款に基づく自己株式の取得が議題に上がり、既に約650万株、総額200億円を上限に取得が進められていることが報告された。このような動きが株価の変動に寄与したと考えられる。,2024/9/2,,,,,,
240902_d44,3224,Gオイスター, 株主優待の廃止を嫌気,"ゼネラル・オイスター<3224>はウリ気配。２８日取引終了後、２０２４年９月末をもって株主優待制度を廃止すると発表。これを嫌気した売りが膨らんでいる。

　株主への公平な利益還元のあり方について検討を重ねた結果、収益改善を早期に実現するためには事業拡大を行いつつ、財務体質の強化を進め、企業価値向上を図っていくことが株主の利益に資すると判断した。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ew8n8o&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240828577544/,1297,1105,1050,Gオイスター<3224>の株価は、ここ数日で大きく動きました。最初の1297円から、次第に1105円、そして1050円まで下落しています。この変動の背景には、株主優待制度を廃止するという決定が影響しています。企業価値の向上を図るために、収益改善と財務体質の強化を目指しつつ、株主に対しての利益還元のあり方を見直すための施策だと発表されましたが、短期的には市場の反応はネガティブでした。,2024/9/2,,,,,,
